customer_id,name,age,income,credit_score,purchase_amount,satisfaction_rating,region,product_category,membership_type,last_purchase_date,total_orders,is_premium
34,Customer_34,39,54807.02312154955,741,529.4598156410972,2,West,Electronics,Basic,2025-03-15 12:42:23.743561,1,True
35,Customer_35,78,,560,74.91518947050915,3,South,Home,Basic,2024-11-21 12:42:23.743562,8,False
36,Customer_36,61,91049.0548349098,649,49.73473590547785,5,East,Sports,Basic,2024-12-10 12:42:23.743563,5,False
37,Customer_37,42,55023.899444393486,651,107.62064775074407,2,North,Home,Premium,2024-11-22 12:42:23.743563,6,True
38,Customer_38,66,40924.066700556876,819,11.529112128425957,2,North,Books,Basic,2025-07-08 12:42:23.743564,5,False
39,Customer_39,44,9415.382898120219,619,101.20823061019091,4,South,Clothing,Premium,2025-04-13 12:42:23.743565,6,False
40,Customer_40,76,89226.06943927276,437,68.96253903481843,2,South,Clothing,Basic,2025-04-03 12:42:23.743566,8,True
41,Customer_41,59,44735.1657485608,849,52.20114019676628,4,North,Sports,Basic,2025-03-16 12:42:23.743566,2,True
42,Customer_42,45,,667,305.80337505581804,3,East,Clothing,Basic,2024-10-26 12:42:23.743567,4,False
43,Customer_43,77,88118.14473853988,519,73.92742989229066,5,East,Clothing,Basic,2025-01-02 12:42:23.743568,1,False
44,Customer_44,33,54552.04641860983,636,24.733056231346843,5,West,Electronics,VIP,2025-01-07 12:42:23.743569,6,False
45,Customer_45,32,46106.59476245041,522,61.42684966419763,4,South,Sports,Premium,2024-08-27 12:42:23.743569,8,True
46,Customer_46,79,78393.45955087489,659,251.81003708680527,4,East,Sports,VIP,2025-06-01 12:42:23.743570,7,False
47,Customer_47,79,59214.74135127839,628,19.37006190506168,5,West,Clothing,VIP,2025-03-06 12:42:23.743571,6,True
48,Customer_48,64,61722.11209446801,762,24.074382988917375,3,East,Clothing,Premium,2025-04-14 12:42:23.743572,4,False
49,Customer_49,79,19536.782590564784,681,1.3115197198074122,5,South,Clothing,Basic,2025-05-10 12:42:23.743572,3,True
50,Customer_50,68,74118.3041448517,468,1.4291690823648489,5,West,Books,Basic,2024-08-30 12:42:23.743573,6,False
51,Customer_51,61,57511.76135983291,516,176.83845651671146,4,West,Home,VIP,2025-04-03 12:42:23.743574,6,False
52,Customer_52,72,22568.212405537517,677,131.72258913709283,4,West,Books,Premium,2024-12-08 12:42:23.743575,3,False
53,Customer_53,69,,418,43.85686176262178,3,East,Sports,Basic,2024-10-25 12:42:23.743575,1,False
54,Customer_54,74,,489,119.83591146993943,4,South,Electronics,Premium,2024-12-26 12:42:23.743576,8,False
55,Customer_55,20,96839.50405025991,669,50.28672529577625,5,West,Home,Basic,2025-02-02 12:42:23.743577,2,False
56,Customer_56,54,27962.904000364786,448,305.5414254749564,1,North,Electronics,Basic,2024-09-24 12:42:23.743578,5,False
57,Customer_57,68,82235.85531436872,787,341.28453999803935,5,South,Sports,Basic,2025-04-22 12:42:23.743578,4,True
58,Customer_58,24,33740.889037626934,673,49.888680230988044,3,North,Sports,Premium,2025-03-14 12:42:23.743579,6,False
59,Customer_59,38,61204.51421941439,459,2908.26699826909,2,North,Electronics,Premium,2024-10-25 12:42:23.743580,4,False
60,Customer_60,26,31757.434867810025,650,148.31975926263863,2,West,Electronics,Basic,2024-12-19 12:42:23.743581,5,True
61,Customer_61,56,69942.30443795641,587,37.106359033545836,1,West,Electronics,Basic,2025-07-23 12:42:23.743582,5,True
62,Customer_62,35,45293.62516185496,587,26.40174077275847,4,East,Sports,Basic,2025-05-10 12:42:23.743582,6,False
63,Customer_63,21,59355.590924154196,525,61.29223055897256,3,East,Clothing,Premium,2024-10-25 12:42:23.743583,3,True
64,Customer_64,42,50301.28763157989,822,152.02776986648493,5,East,Electronics,Basic,2025-03-21 12:42:23.743584,5,False
65,Customer_65,77,22686.704270326885,821,322.3079265176678,4,South,Home,Basic,2024-10-30 12:42:23.743585,5,False
66,Customer_66,31,60082.13719381068,572,144.21414561961814,2,East,Sports,Basic,2025-07-04 12:42:23.743586,4,False
67,Customer_67,67,39935.25028668504,701,193.24500392712037,4,North,Books,Basic,2024-08-20 12:42:23.743586,4,True
68,Customer_68,75,70906.25586015222,482,92.3980991693548,5,East,Books,Basic,2025-07-13 12:42:23.743587,4,False
69,Customer_69,26,45282.80383698646,787,180.42845668534318,4,West,Home,Premium,2024-09-01 12:42:23.743588,4,False
70,Customer_70,43,48464.72181943336,423,153.44271886134635,2,East,Clothing,Basic,2024-10-31 12:42:23.743589,6,False
71,Customer_71,70,83658.52928745873,713,47.31855532830355,5,South,Electronics,Premium,2025-07-18 12:42:23.743589,6,True
71,Customer_72,19,97632.735890159,471,80.2940399749484,5,South,Sports,Basic,2024-09-21 12:42:23.743590,6,False
73,Customer_73,37,65720.67911424166,587,163.34904800941212,3,North,Electronics,Basic,2024-12-29 12:42:23.743591,7,False
74,Customer_74,45,44257.198051532294,734,4.715107910304208,2,South,Sports,Basic,2024-09-04 12:42:23.743592,5,False
74,Customer_75,64,42506.77343287712,412,165.06729211695998,4,East,Books,Premium,2025-07-04 12:42:23.743592,8,False
76,Customer_76,77,33626.4602936284,421,19.587879105686994,3,West,Electronics,VIP,2025-05-23 12:42:23.743593,4,True
77,Customer_77,24,37495.23632892887,843,72.29542648911013,5,South,Home,VIP,2025-02-26 12:42:23.743594,5,False
78,Customer_78,61,44527.805129920634,521,165.16955179714097,4,North,Clothing,Basic,2025-07-07 12:42:23.743595,1,False
79,Customer_79,78,,338,29.278986592276823,5,East,Home,Basic,2025-06-05 12:42:23.743596,7,False
80,Customer_80,25,46055.566582929525,796,28.210755804390963,4,North,Clothing,Premium,2024-08-18 12:42:23.743597,5,False
81,Customer_81,64,25478.939916037947,532,51.544360099859276,3,South,Electronics,Premium,2025-04-23 12:42:23.743597,9,False
82,Customer_82,52,50833.30534250766,829,225.03987744588105,2,South,Electronics,Basic,2025-07-14 12:42:23.743598,5,False
83,Customer_83,31,53562.56851522129,448,0.04428794938546291,4,North,Clothing,Premium,2025-02-10 12:42:23.743599,8,True
84,Customer_84,34,50712.70919700912,696,231.65125984148412,5,East,Books,Basic,2025-01-17 12:42:23.743600,9,True
85,Customer_85,53,65993.82445170415,601,3034.3116874748603,5,South,Sports,Basic,2025-06-12 12:42:23.743600,5,False
86,Customer_86,67,,659,461.38453130749923,3,West,Home,Basic,2024-08-27 12:42:23.743601,9,False
87,Customer_87,57,65374.54984294658,537,309.76984019673046,3,South,Home,Basic,2024-10-24 12:42:23.743602,5,False
88,Customer_88,21,34393.132918845695,535,68.25538675359728,1,East,Home,Basic,2025-07-09 12:42:23.743603,6,False
89,Customer_89,19,85614.58876290446,502,71.89168810171388,4,South,Electronics,Basic,2025-03-30 12:42:23.743603,3,True
90,Customer_90,79,55049.5957668717,555,65.69104154853704,2,North,Home,Basic,2025-06-06 12:42:23.743604,5,False
91,Customer_91,23,,534,100.90741322397842,4,South,Sports,Basic,2024-09-23 12:42:23.743605,5,False
92,Customer_92,71,34309.76212373395,644,4269.9057572196825,4,South,Sports,Basic,2025-02-18 12:42:23.743606,8,False
93,Customer_93,59,59436.53982532792,833,3.316177194044042,5,East,Clothing,Premium,2024-09-22 12:42:23.743606,7,False
94,Customer_94,21,,765,5.9434691506292925,3,North,Electronics,Basic,2025-05-04 12:42:23.743607,8,False
95,Customer_95,71,,840,58.764430367068584,3,East,Sports,Basic,2025-06-14 12:42:23.743608,12,False
96,Customer_96,46,16818.168232246866,512,32.23396881055838,4,South,Books,Basic,2025-02-21 12:42:23.743609,2,False
96,Customer_97,35,55873.32047218931,762,97.29657511971624,4,West,Electronics,VIP,2025-03-20 12:42:23.743609,6,True
98,Customer_98,43,40224.60353088935,735,488.5186962003871,3,South,Electronics,Basic,2024-11-01 12:42:23.743610,4,False
99,Customer_99,61,55198.42938271459,582,48.82868299162045,5,East,Sports,Basic,2025-03-27 12:42:23.743611,7,False
100,Customer_100,51,24179.2785820377,762,85.2943359179754,5,West,Books,Basic,2024-09-20 12:42:23.743612,4,False
101,Customer_101,27,18789.881712346585,706,53.7176265635917,3,East,Clothing,Premium,2025-06-16 12:42:23.743612,4,False
102,Customer_102,79,,387,187.9094541871823,3,East,Sports,Basic,2025-08-03 12:42:23.743613,3,False
103,Customer_103,53,43004.32478086295,343,232.52029947740098,4,North,Books,Basic,2025-07-05 12:42:23.743614,6,False
104,Customer_104,31,7786.009576996431,760,209.84662672149832,5,West,Electronics,Basic,2025-02-01 12:42:23.743615,6,True
105,Customer_105,48,76861.9763621546,577,366.40790884708935,1,South,Books,Basic,2024-10-15 12:42:23.743616,4,True
106,Customer_106,65,23846.858636324854,720,2.7904931334940994,4,East,Electronics,Premium,2024-08-19 12:42:23.743617,7,False
107,Customer_107,32,101466.49904220864,652,183.14331367377875,4,South,Sports,Premium,2025-03-30 12:42:23.743618,6,False
108,Customer_108,25,37519.66542222843,814,139.3408297423909,3,North,Sports,Premium,2024-10-22 12:42:23.743619,6,True
109,Customer_109,31,58031.21136251997,318,25.96706277868041,4,North,Home,Premium,2024-11-08 12:42:23.743620,6,False
110,Customer_110,40,82938.9802077437,322,313.086708554062,5,West,Home,Basic,2024-11-18 12:42:23.743621,2,False
111,Customer_111,77,79588.6785565765,712,16.03776099127251,1,North,Home,Basic,2025-03-15 12:42:23.743622,4,True
112,Customer_112,74,89722.72812453765,329,113.80287936451535,3,North,Sports,Premium,2025-04-08 12:42:23.743623,2,False
113,Customer_113,79,19538.475222392935,407,25.47506039396111,4,South,Clothing,Basic,2025-07-19 12:42:23.743624,4,True
114,Customer_114,57,27282.690049855057,666,56.45440472350906,5,North,Sports,Premium,2025-08-07 12:42:23.743625,4,False
115,Customer_115,38,54519.9454818806,580,126.99697998789081,5,North,Books,Basic,2025-03-07 12:42:23.743626,3,False
116,Customer_116,33,66794.94875795428,427,2475.5384894960225,4,East,Sports,Basic,2025-06-22 12:42:23.743627,5,False
117,Customer_117,62,49775.45113240724,528,1087.2271724975824,5,North,Sports,Premium,2025-08-08 12:42:23.743628,6,False
118,Customer_118,35,17240.119285732224,410,39.502741722031296,4,East,Electronics,Premium,2024-10-19 12:42:23.743629,4,True
119,Customer_119,64,59931.56317929598,435,183.04565711124977,4,North,Electronics,Premium,2025-05-14 12:42:23.743630,4,False
120,Customer_120,70,,661,15.52680458822164,3,North,Electronics,Basic,2025-07-18 12:42:23.743631,2,False
121,Customer_121,41,45875.22082088267,485,56.229941958294425,3,West,Sports,Premium,2025-05-23 12:42:23.743632,9,False
121,Customer_122,43,4440.991643788852,428,234.08849767024012,3,West,Clothing,Basic,2024-10-03 12:42:23.743633,9,False
123,Customer_123,42,65949.68408956629,560,4260.29596273044,4,East,Books,Basic,2025-03-12 12:42:23.743634,8,False
124,Customer_124,77,52904.08120570917,814,51.23964610067927,1,North,Books,VIP,2025-05-16 12:42:23.743635,6,False
125,Customer_125,77,85903.29113277927,748,144.0152472793959,5,South,Clothing,Premium,2025-01-09 12:42:23.743636,8,True
126,Customer_126,77,48509.84706937655,403,173.2514607551862,3,West,Clothing,Basic,2024-09-12 12:42:23.743637,4,False
127,Customer_127,62,61326.802610380444,782,219.72113934557947,3,South,Books,Premium,2025-05-14 12:42:23.743638,7,False
128,Customer_128,58,66636.36352210525,523,78.6372227673478,4,West,Home,Basic,2024-08-24 12:42:23.743639,6,False
129,Customer_129,46,15076.768826776177,790,22.873526340577534,4,West,Electronics,Basic,2024-12-17 12:42:23.743640,6,False
130,Customer_130,32,102333.99893203187,772,29.47860144745407,2,North,Electronics,Basic,2024-11-08 12:42:23.743641,7,True
131,Customer_131,62,41384.152241547665,309,35.054331520002094,3,West,Books,VIP,2024-09-14 12:42:23.743642,2,False
132,Customer_132,18,59891.332042849695,704,90.09157372144621,5,South,Clothing,Basic,2025-08-14 12:42:23.743643,7,False
133,Customer_133,42,62811.64013898303,601,3.3359930236239026,3,West,Home,Premium,2025-05-02 12:42:23.743643,6,False
134,Customer_134,24,33704.31744019405,530,101.07180906245992,3,East,Books,Basic,2025-04-18 12:42:23.743644,6,False
135,Customer_135,26,86939.60662895205,365,45.31138494729917,5,North,Electronics,Premium,2025-04-14 12:42:23.743645,6,False
136,Customer_136,41,55319.105387088646,411,34.99005172565461,2,North,Sports,Basic,2025-04-22 12:42:23.743646,5,True
137,Customer_137,18,45730.547261853324,312,211.60770677686202,4,East,Clothing,Premium,2025-07-31 12:42:23.743647,7,False
138,Customer_138,61,52770.15924776885,692,61.6190575694396,4,East,Sports,Basic,2025-05-14 12:42:23.743647,5,False
139,Customer_139,25,65285.043972180465,799,9.987895084834898,3,East,Books,Premium,2025-04-18 12:42:23.743648,9,False
140,Customer_140,41,50215.963296194,533,175.3000986114969,3,West,Electronics,VIP,2025-05-25 12:42:23.743649,6,False
141,Customer_141,28,67638.59820766479,613,4.8813484749686555,2,North,Home,Premium,2024-12-31 12:42:23.743650,5,False
142,Customer_142,68,16302.557220645214,311,129.73653126548507,3,East,Sports,Basic,2024-12-18 12:42:23.743651,3,False
143,Customer_143,34,35040.600203470196,508,148.68054178595193,1,West,Home,VIP,2025-08-10 12:42:23.743652,10,False
144,Customer_144,25,7223.993703813702,313,43.47949627203034,5,East,Electronics,Basic,2024-09-18 12:42:23.743652,3,False
145,Customer_145,52,89940.16313685892,717,2871.257184723887,4,South,Sports,Premium,2024-09-05 12:42:23.743653,4,True
146,Customer_146,52,89679.84255369869,736,72.49669128429595,4,South,Home,Premium,2025-02-26 12:42:23.743654,4,False
147,Customer_147,50,,676,62.230417440401766,5,North,Home,Basic,2025-01-14 12:42:23.743655,5,False
148,Customer_148,76,29747.63858173937,319,4.646631194892524,4,West,Sports,Basic,2025-04-23 12:42:23.743656,8,True
149,Customer_149,22,97797.56544436648,369,34.25314276074969,1,South,Electronics,Basic,2024-09-27 12:42:23.743656,2,False
150,Customer_150,59,37911.71043736576,510,267.3793290410871,5,South,Home,Basic,2025-08-03 12:42:23.743657,12,False
151,Customer_151,56,45735.85746189672,400,1951.6966489799338,3,West,Books,Premium,2025-01-18 12:42:23.743658,4,False
152,Customer_152,75,53190.66811461445,431,79.12022694074209,2,East,Sports,Basic,2025-05-11 12:42:23.743659,2,True
153,Customer_153,58,59030.31884037939,680,75.93333067533385,5,West,Clothing,Basic,2024-09-03 12:42:23.743660,3,False
154,Customer_154,45,,431,89.26501110250439,4,East,Clothing,Basic,2024-12-01 12:42:23.743661,1,False
155,Customer_155,24,63679.23274948902,319,6.329231732504172,4,South,Electronics,Basic,2024-11-09 12:42:23.743661,8,True
156,Customer_156,26,,835,44.96932952445813,3,South,Books,Basic,2025-07-26 12:42:23.743662,8,False
157,Customer_157,25,63362.019035134246,526,128.4200962659162,4,South,Home,Premium,2025-01-29 12:42:23.743663,6,True
157,Customer_158,29,46215.846810086456,453,22.384411048972385,3,North,Clothing,Basic,2024-10-05 12:42:23.743664,3,False
159,Customer_159,51,,768,22.76265569175134,5,North,Electronics,Premium,2025-05-24 12:42:23.743665,5,False
160,Customer_160,50,,704,1.0141861949992612,3,North,Books,Basic,2024-11-23 12:42:23.743666,5,True
161,Customer_161,65,65256.94581596242,501,57.53320149454406,5,West,Books,Basic,2025-06-24 12:42:23.743667,5,True
162,Customer_162,72,62759.33398041931,337,214.3313666655195,4,South,Electronics,Premium,2024-12-01 12:42:23.743667,3,False
163,Customer_163,40,41151.352501774054,487,5.3296292298998384,5,South,Electronics,Basic,2024-10-13 12:42:23.743668,9,False
164,Customer_164,79,59174.203431180256,356,21.210310877944057,4,West,Home,Basic,2024-12-27 12:42:23.743669,6,True
165,Customer_165,41,63067.994758297726,319,37.11862082342653,4,North,Electronics,Basic,2025-06-06 12:42:23.743670,7,False
166,Customer_166,54,24177.51222102588,572,131.5741723207683,3,West,Home,Basic,2024-08-26 12:42:23.743671,5,True
167,Customer_167,52,44519.11285537941,418,102.34183434895255,3,North,Home,Basic,2024-11-26 12:42:23.743671,4,True
168,Customer_168,61,62162.27782436667,815,53.77582469685872,3,South,Sports,Basic,2025-06-26 12:42:23.743672,4,False
169,Customer_169,57,84185.84989459244,520,142.32444414270287,5,East,Books,Basic,2025-05-29 12:42:23.743673,3,False
170,Customer_170,39,66498.00372257468,825,94.06628631949462,5,North,Books,Basic,2024-12-12 12:42:23.743674,11,False
171,Customer_171,44,85447.55973955191,814,226.37567612086028,4,South,Books,Basic,2025-07-05 12:42:23.743675,4,True
172,Customer_172,52,42032.53219646103,635,3057.0859817702044,2,South,Sports,Basic,2025-04-09 12:42:23.743676,6,True
173,Customer_173,18,55003.80984495286,354,29.14406016674529,4,East,Home,Basic,2025-01-03 12:42:23.743676,8,False
174,Customer_174,52,66114.70599052237,799,31.668334342707134,4,South,Home,Basic,2025-07-06 12:42:23.743677,4,True
175,Customer_175,54,3472.9657300044623,835,13.393887654040155,4,South,Electronics,VIP,2025-02-23 12:42:23.743678,10,False
176,Customer_176,64,80216.06436229052,461,41.0927086165491,5,North,Sports,Basic,2025-06-11 12:42:23.743679,4,True
177,Customer_177,31,12781.80238290707,458,769.2839516733918,5,North,Electronics,Premium,2024-10-01 12:42:23.743680,6,False
178,Customer_178,20,69938.80136556806,487,52.045713928152246,3,East,Sports,Basic,2025-02-07 12:42:23.743681,6,True
179,Customer_179,18,63736.635810852924,359,24.908775376192203,4,East,Electronics,VIP,2024-10-01 12:42:23.743682,5,False
180,Customer_180,22,3208.1399497022735,618,143.75155927379325,4,South,Clothing,Basic,2024-11-25 12:42:23.743682,4,False
181,Customer_181,43,4218.774861340054,510,78.19150158655195,3,North,Books,VIP,2025-03-06 12:42:23.743683,7,False
182,Customer_182,72,78649.63834905012,705,16.20501564795493,3,East,Books,Premium,2025-01-20 12:42:23.743684,3,True
183,Customer_183,31,74294.44119373096,408,47.914880907595744,2,East,Home,Basic,2025-05-21 12:42:23.743685,6,False
184,Customer_184,56,32382.727110234784,375,53.523737318182796,5,West,Clothing,Premium,2025-07-25 12:42:23.743686,5,True
185,Customer_185,44,32362.422099118714,841,140.17317084520957,4,East,Books,Basic,2024-10-19 12:42:23.743687,2,False
186,Customer_186,26,,613,2.0888012383265444,4,South,Home,Basic,2024-09-08 12:42:23.743687,5,False
187,Customer_187,32,49745.11699023264,416,31.336869619861684,5,North,Clothing,Premium,2025-06-04 12:42:23.743688,1,True
188,Customer_188,32,71087.90431698228,318,72.89739663421742,5,East,Books,VIP,2025-03-06 12:42:23.743689,3,False
189,Customer_189,43,59591.618488661734,731,31.313218655954966,2,West,Electronics,Basic,2025-03-20 12:42:23.743690,6,False
190,Customer_190,59,81660.6158791307,649,99.00289000803217,4,North,Sports,Basic,2025-05-29 12:42:23.743691,6,False
191,Customer_191,77,69401.55555827453,482,65.75242379257719,4,East,Clothing,Premium,2025-07-22 12:42:23.743692,12,False
192,Customer_192,30,,412,44.89629527423066,5,West,Home,Premium,2025-07-01 12:42:23.743692,3,True
193,Customer_193,68,42957.50559392652,482,298.0028759104472,4,East,Clothing,Premium,2025-02-04 12:42:23.743693,4,False
194,Customer_194,49,41493.575316763105,780,100.01058564698711,4,North,Home,Premium,2025-06-23 12:42:23.743694,3,False
195,Customer_195,56,48964.82030589398,445,13.919468140622154,3,North,Clothing,Basic,2025-03-09 12:42:23.743695,4,False
196,Customer_196,66,86818.86139874416,412,82.11889770692558,5,North,Home,VIP,2025-05-09 12:42:23.743696,0,False
197,Customer_197,69,,775,151.7459883542128,2,South,Books,Basic,2024-11-22 12:42:23.743696,7,False
198,Customer_198,78,55210.579741480324,602,123.26799307382596,3,East,Electronics,Basic,2024-09-24 12:42:23.743697,7,True
199,Customer_199,49,5103.941845853815,417,18.884989525327303,3,South,Books,Basic,2024-12-01 12:42:23.743698,3,True
200,Customer_200,21,63516.17460088161,460,359.0664371812897,2,North,Electronics,Basic,2024-11-22 12:42:23.743699,4,False
201,Customer_201,47,95143.96562186278,700,59.56823160234698,3,West,Books,Basic,2025-06-23 12:42:23.743700,6,False
202,Customer_202,54,31327.237814741504,497,17.31933504146127,5,East,Books,Premium,2024-11-20 12:42:23.743701,4,False
203,Customer_203,40,113488.84274253517,559,19.868969176960043,5,South,Clothing,Basic,2024-11-26 12:42:23.743701,3,False
204,Customer_204,56,53644.81209313307,346,10.340131635287348,3,East,Sports,Basic,2025-08-02 12:42:23.743702,4,False
205,Customer_205,62,-1458.624827686883,698,162.71850068045052,3,West,Home,Premium,2024-09-22 12:42:23.743703,7,False
206,Customer_206,32,42289.23520064178,377,13.014341752403496,3,South,Home,Basic,2025-07-03 12:42:23.743704,5,False
207,Customer_207,60,76608.77126538166,423,13.367455389074706,3,North,Home,Basic,2025-02-12 12:42:23.743705,4,True
208,Customer_208,46,89986.34412499607,374,190.02690363535254,1,South,Electronics,Basic,2024-10-30 12:42:23.743706,11,False
209,Customer_209,53,64361.97096503367,436,42.25157747288461,5,East,Home,VIP,2024-11-18 12:42:23.743707,2,True
210,Customer_210,30,81351.88841757935,699,3.1344036261259864,3,East,Home,Basic,2024-10-07 12:42:23.743707,4,True
211,Customer_211,49,26444.28917015293,804,5.329033927957457,4,East,Clothing,Basic,2025-01-14 12:42:23.743708,5,False
212,Customer_212,24,36394.76825612184,799,15.334985506090431,1,East,Books,Basic,2025-06-06 12:42:23.743709,4,True
212,Customer_213,76,16410.81435996419,437,24.002696234041114,5,North,Home,Basic,2024-11-13 12:42:23.743710,4,True
214,Customer_214,68,37898.738480161934,349,109.40612431192316,4,South,Sports,Basic,2025-01-19 12:42:23.743711,1,True
215,Customer_215,39,65238.37972871333,553,17.117544216753412,5,North,Home,Basic,2024-09-03 12:42:23.743711,2,True
216,Customer_216,45,54253.11524766038,725,12.655508792743042,5,North,Electronics,Basic,2025-07-09 12:42:23.743712,9,False
217,Customer_217,19,67356.98073326364,846,4345.783585038452,3,North,Electronics,VIP,2024-11-21 12:42:23.743713,6,True
218,Customer_218,59,31269.719650065264,601,111.18655783847757,3,East,Electronics,Basic,2025-01-30 12:42:23.743714,7,False
219,Customer_219,62,,648,57.150355583037225,4,East,Home,Basic,2024-11-16 12:42:23.743715,6,False
220,Customer_220,79,54092.204190498254,348,79.69750301953007,4,East,Clothing,Basic,2024-11-02 12:42:23.743716,4,False
221,Customer_221,74,37947.04389389369,373,37.394321504877844,4,South,Sports,Basic,2024-11-23 12:42:23.743716,10,False
222,Customer_222,70,76036.9833632019,560,65.87465658919487,1,West,Home,Premium,2025-05-06 12:42:23.743717,3,False
223,Customer_223,23,37451.62231245046,655,70.65823272819868,2,East,Clothing,Basic,2024-08-27 12:42:23.743718,9,True
224,Customer_224,45,40092.21514137506,559,48.977748351851524,4,South,Clothing,Basic,2024-11-05 12:42:23.743719,0,False
225,Customer_225,45,58376.78827736974,594,237.05664477240651,4,East,Home,Premium,2025-07-13 12:42:23.743720,8,False
226,Customer_226,61,42214.236165450144,612,1.6192254821999141,5,East,Home,Basic,2025-04-01 12:42:23.743720,7,False
227,Customer_227,61,25301.11212925173,481,152.40461354570058,2,North,Clothing,Basic,2024-11-29 12:42:23.743721,1,False
228,Customer_228,37,28012.883503358225,663,13.28263055326578,4,North,Clothing,Basic,2024-10-16 12:42:23.743722,3,True
229,Customer_229,47,60755.31916813911,487,159.7249298985594,3,North,Clothing,Basic,2025-01-05 12:42:23.743723,4,False
230,Customer_230,79,22825.769708758795,842,2373.0686282896163,2,South,Home,Basic,2024-10-09 12:42:23.743724,4,True
231,Customer_231,28,,847,185.32823240545667,4,West,Clothing,Basic,2024-12-14 12:42:23.743725,5,False
232,Customer_232,75,36192.014313965,707,10.260246218739598,3,West,Electronics,Basic,2024-10-30 12:42:23.743725,8,False
233,Customer_233,72,,713,81.86664908935107,3,South,Home,Premium,2024-11-07 12:42:23.743726,8,False
234,Customer_234,45,37391.74751940732,641,4104.1958354775215,3,East,Electronics,Basic,2024-10-20 12:42:23.743727,4,False
